2019. 12. 23,1:00,85,0,77,66,0
2019. 12. 23,2:00,35,0,35,10,0
2019. 12. 23,4:00,20,0,20,9,0
2019. 12. 23,5:00,12,0,12,0,0
2019. 12. 23,6:00,98,38,98,0,0
2019. 12. 23,7:00,95,4,95,0,0
2019. 12. 23,8:00,100,26,100,0,0
2019. 12. 24,9:00,0,0,0,0,0
2019. 12. 24,10:00,0,0,0,0,0
2019. 12. 24,10:00,0,0,0,0,0
2019. 12. 24,12:00,0,0,0,0,0
2019. 12. 24,13:00,0,0,0,0,0
2019. 12. 24,14:00,0,0,0,0,0
2019. 12. 24,15:00,0,0,0,0,0
2019. 12. 24,16:00,0,0,0,0,0
2019. 12. 24,18:00,0,0,0,0,0
2019. 12. 24,19:00,0,0,0,0,0
2019. 12. 24,20:00,0,0,0,0,0
2019. 12. 24,21:00,0,0,0,0,0
2019. 12. 24,22:00,0,0,0,0,0
2019. 12. 25,1:00,0,0,0,0,0
2019. 12. 25,2:00,0,0,0,0,0
2019. 12. 25,4:00,38,0,0,0,38
2019. 12. 25,6:00,43,0,0,0,43
2019. 12. 25,7:00,89,0,0,8,89
2019. 12. 25,8:00,81,0,0,16,81
2019. 12. 25,10:00,98,0,0,95,94
2019. 12. 25,11:00,95,0,0,90,81
2019. 12. 25,12:00,99,0,0,77,98
2019. 12. 25,13:00,98,0,0,69,98
2019. 12. 25,14:00,99,0,0,62,99
2019. 12. 25,15:00,98,0,0,84,98
2019. 12. 25,16:00,99,0,0,82,98
2019. 12. 25,18:00,91,0,8,21,90
2019. 12. 25,20:00,98,0,0,2,98
2019. 12. 25,21:00,97,0,0,23,96
2019. 12. 25,22:00,93,0,2,4,93
2019. 12. 25,23:00,98,0,3,27,98
2019. 12. 26,0:00,99,0,17,29,98
2019. 12. 26,1:00,98,0,10,80,98
2019. 12. 26,2:00,98,0,6,91,98
2019. 12. 26,4:00,100,0,2,100,98
2019. 12. 26,5:00,99,0,2,97,88
2019. 12. 26,6:00,100,0,1,100,77
2019. 12. 26,8:00,100,0,0,100,97
2019. 12. 26,9:00,100,0,25,100,90
2019. 12. 26,10:00,100,0,51,100,88
2019. 12. 26,11:00,100,0,4,100,94
2019. 12. 26,12:00,100,0,77,98,99
2019. 12. 26,13:00,98,0,58,98,24
2019. 12. 26,15:00,45,0,2,44,0
2019. 12. 26,16:00,4,0,1,3,0
2019. 12. 26,17:00,0,0,0,0,0
2019. 12. 26,19:00,1,0,1,0,0
2019. 12. 26,20:00,2,0,2,0,0
2019. 12. 26,22:00,1,0,1,0,0
2019. 12. 26,23:00,1,0,1,0,0
2019. 12. 27,0:00,1,0,1,0,0
2019. 12. 27,2:00,0,0,0,0,0
2019. 12. 27,3:00,0,0,0,0,0
2019. 12. 27,5:00,0,0,0,0,0
2019. 12. 27,6:00,0,0,0,0,0
2019. 12. 27,8:00,0,0,0,0,0
2019. 12. 27,9:00,0,0,0,0,0
2019. 12. 27,11:00,0,0,0,0,0
2019. 12. 27,13:00,0,0,0,0,0
2019. 12. 27,16:00,0,0,0,0,0
2019. 12. 27,17:00,0,0,0,0,0
2019. 12. 27,18:00,0,0,0,0,0
2019. 12. 27,20:00,0,0,0,0,0
2019. 12. 27,22:00,2,0,1,1,0
2019. 12. 27,23:00,16,0,16,2,0
2019. 12. 28,0:00,41,0,40,9,0
2019. 12. 28,1:00,37,0,30,34,0
2019. 12. 28,2:00,38,0,15,38,0
2019. 12. 28,3:00,41,0,22,39,0
2019. 12. 28,4:00,69,0,67,47,0
2019. 12. 28,5:00,39,0,30,29,0
2019. 12. 28,6:00,9,0,9,6,0
2019. 12. 28,7:00,1,0,1,0,0
2019. 12. 28,9:00,0,0,0,0,0
2019. 12. 28,10:00,0,0,0,0,0
2019. 12. 28,11:00,0,0,0,0,0
2019. 12. 28,12:00,4,0,0,4,0
2019. 12. 28,14:00,62,0,59,60,0
2019. 12. 28,15:00,94,0,92,91,0
2019. 12. 28,16:00,96,0,91,94,0
2019. 12. 28,18:00,62,0,50,58,0
2019. 12. 28,19:00,3,0,1,2,0
2019. 12. 28,20:00,65,0,7,2,62
2019. 12. 28,22:00,100,0,68,1,100
2019. 12. 28,23:00,91,0,2,3,90
2019. 12. 29,0:00,84,0,0,2,84
2019. 12. 29,1:00,91,0,1,1,91
2019. 12. 29,2:00,95,0,1,1,95
2019. 12. 29,3:00,95,0,0,0,95
2019. 12. 29,4:00,98,0,0,25,98
2019. 12. 29,5:00,98,0,0,87,98
2019. 12. 29,6:00,99,0,0,93,99
2019. 12. 29,7:00,100,0,0,100,100
2019. 12. 29,8:00,100,0,0,100,100
2019. 12. 29,9:00,100,0,0,100,100
2019. 12. 29,10:00,100,0,0,100,100
2019. 12. 29,12:00,100,0,2,100,100
2019. 12. 29,14:00,100,0,18,100,100
2019. 12. 29,16:00,100,0,48,100,88
2019. 12. 29,18:00,100,0,0,100,25
2019. 12. 29,19:00,100,0,0,100,64
2019. 12. 29,21:00,100,0,1,100,3
2019. 12. 29,22:00,98,0,0,98,0
2019. 12. 29,23:00,100,0,0,100,0
2019. 12. 30,0:00,100,0,2,100,0
2019. 12. 30,1:00,99,0,1,99,0
2019. 12. 30,2:00,92,0,7,91,0
2019. 12. 30,3:00,40,0,4,39,0
2019. 12. 30,4:00,34,0,1,34,0
2019. 12. 30,5:00,59,0,3,59,0
2019. 12. 30,6:00,66,0,21,62,0
2019. 12. 30,8:00,54,0,25,49,0
2019. 12. 30,9:00,48,0,22,46,0
2019. 12. 30,10:00,61,0,56,38,0
2019. 12. 30,11:00,100,0,100,80,0
2019. 12. 30,12:00,100,0,100,94,0
2019. 12. 30,15:00,13,0,12,4,0
2019. 12. 30,16:00,5,0,5,0,0
2019. 12. 30,17:00,1,0,1,0,0
2019. 12. 30,18:00,1,0,1,0,0
2019. 12. 30,19:00,2,0,2,0,0
2019. 12. 30,21:00,16,0,16,0,0
2019. 12. 30,23:00,32,0,32,0,0
2019. 12. 30,23:00,32,0,32,0,0
2019. 12. 31,0:00,0,0,0,0,0
2019. 12. 31,2:00,0,0,0,0,0
2019. 12. 31,4:00,0,0,0,0,0
2019. 12. 31,5:00,0,0,0,0,0
2019. 12. 31,6:00,0,0,0,0,0
2019. 12. 31,8:00,0,0,0,0,0
2019. 12. 31,9:00,0,0,0,0,0
2019. 12. 31,10:00,0,0,0,0,0
2019. 12. 31,11:00,0,0,0,0,0
2019. 12. 31,13:00,0,0,0,0,0
